address,propertyType,images,hasFloorPlan,location,detailUrl,displayPrice,dateSold,tenure,newBuild,numericPrice,address_1,address_2,address_3,address_4,number,postcode
"37, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026847?s=43e9f2502301e4064683d2a824bcb6533fc96b9602ca8fbd87ec6875cdd237c3,"£124,950",26 Jun 2015,Leasehold,False,124950,Morley Mills,Morley Street,Daybrook,Nottingham,37,NG5 6JL
"37, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026847?s=43e9f2502301e4064683d2a824bcb6533fc96b9602ca8fbd87ec6875cdd237c3,"£123,000",26 Feb 2010,Leasehold,False,123000,Morley Mills,Morley Street,Daybrook,Nottingham,37,NG5 6JL
"37, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026847?s=43e9f2502301e4064683d2a824bcb6533fc96b9602ca8fbd87ec6875cdd237c3,"£143,500",4 Aug 2006,Leasehold,False,143500,Morley Mills,Morley Street,Daybrook,Nottingham,37,NG5 6JL
"37, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026847?s=43e9f2502301e4064683d2a824bcb6533fc96b9602ca8fbd87ec6875cdd237c3,"£136,000",22 Jul 2005,Leasehold,False,136000,Morley Mills,Morley Street,Daybrook,Nottingham,37,NG5 6JL
"37, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026847?s=43e9f2502301e4064683d2a824bcb6533fc96b9602ca8fbd87ec6875cdd237c3,"£116,500",20 Jun 2001,Leasehold,False,116500,Morley Mills,Morley Street,Daybrook,Nottingham,37,NG5 6JL
"49, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026835?s=5b71764b18c3a00918d23439696888d089a0fc71daade30728a0972250c07d04,"£109,500",23 Feb 2015,Leasehold,False,109500,Morley Mills,Morley Street,Daybrook,Nottingham,49,NG5 6JL
"49, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026835?s=5b71764b18c3a00918d23439696888d089a0fc71daade30728a0972250c07d04,"£122,000",21 Mar 2003,Leasehold,False,122000,Morley Mills,Morley Street,Daybrook,Nottingham,49,NG5 6JL
"49, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026835?s=5b71764b18c3a00918d23439696888d089a0fc71daade30728a0972250c07d04,"£85,000",26 Sep 2001,Leasehold,False,85000,Morley Mills,Morley Street,Daybrook,Nottingham,49,NG5 6JL
"32, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026832?s=22ef0f976a50614a87914cf78e3b6565db63c47fba0b4e768529c8e46de2f207,"£115,000",16 Feb 2015,Leasehold,False,115000,Morley Mills,Morley Street,Daybrook,Nottingham,32,NG5 6JL
"32, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026832?s=22ef0f976a50614a87914cf78e3b6565db63c47fba0b4e768529c8e46de2f207,"£75,000",28 Jun 2001,Leasehold,False,75000,Morley Mills,Morley Street,Daybrook,Nottingham,32,NG5 6JL
